#{"t_start": 1784121635.9929411, "env_id": "FetchReachDense-v4"}
r,l,t
-5.726758,50,91.577287
-4.437339,50,91.710904
-5.551799,50,91.863783
-3.60317,50,91.999894
-8.223681,50,92.133015
-5.711458,50,92.259805
-6.452759,50,92.397259
-5.139021,50,92.538738
-5.08448,50,92.665116
-4.067292,50,92.834445
-5.676219,50,92.985498
-6.428658,50,93.120167
-5.092708,50,93.255127
-7.712613,50,93.385943
-5.346742,50,93.507012
-5.687287,50,93.640792
-4.463514,50,93.784992
-6.12218,50,93.951001
-5.242032,50,94.12612
-7.472627,50,94.76238
-5.714204,50,94.981956
-5.366159,50,95.164144
-5.428333,50,95.309293
-4.828382,50,95.456938
-5.942817,50,95.578813
-5.344532,50,95.717959
-6.430709,50,95.861833
-5.299242,50,95.994613
-5.527505,50,96.123696
-6.160259,50,96.275944
-7.888131,50,96.425244
-5.153237,50,96.559498
-8.367027,50,96.720287
-7.285507,50,96.884598
-5.487506,50,97.059757
-5.914101,50,97.187592
-4.049088,50,97.340197
-5.582753,50,97.484836
-4.264537,50,97.612514
-6.508845,50,98.26126
-4.776387,50,98.41792
-2.789082,50,98.55429
-4.39625,50,98.685438
-7.241544,50,98.947048
-4.620977,50,99.166646
-5.037257,50,99.343709
-4.511637,50,99.49593
-5.186866,50,99.718267
-6.800372,50,99.936182
-6.014937,50,100.188952
-6.534528,50,100.447104
-7.970417,50,100.675287
-6.271877,50,100.902593
-8.572709,50,101.068278
-7.227073,50,101.208699
-6.372894,50,101.342834
-7.516051,50,101.470517
-3.445684,50,101.607791
-3.934739,50,101.735974
-7.233746,50,102.178412
-4.610982,50,102.371658
-6.011368,50,102.496775
-5.063353,50,102.62641
-7.234309,50,102.76103
-3.991135,50,102.938794
-7.249562,50,103.06667
-4.155267,50,103.202441
-5.343987,50,103.357971
-3.379243,50,103.510347
-6.310811,50,103.64619
-6.342217,50,103.816294
-4.051857,50,104.039132
-4.632597,50,104.253682
-4.733351,50,104.437315
-8.030156,50,104.82049
-4.612939,50,104.983786
-3.543693,50,105.157457
-5.687008,50,105.349442
-9.321149,50,105.520488
-3.794121,50,105.656514
-3.610365,50,106.229185
-3.383821,50,106.39773
-6.088593,50,106.539737
-5.815319,50,106.696082
-5.019217,50,106.892331
-5.89304,50,107.112505
-4.361342,50,107.285219
-4.445823,50,107.45182
-6.560775,50,107.686464
-4.828296,50,107.823154
-3.121647,50,107.955488
-5.355478,50,108.087296
-4.009713,50,108.216475
-3.353266,50,108.340537
-3.669232,50,108.484063
-4.704616,50,108.647673
-4.493821,50,108.804733
-3.370216,50,108.943977
-6.244835,50,109.106936
-4.760125,50,109.282506
-8.384335,50,109.956341
-4.769951,50,110.187796
-2.873785,50,110.310955
-4.538999,50,110.440464
-3.817301,50,110.579131
-4.402217,50,110.70865
-4.67506,50,110.856427
-4.02585,50,111.027763
-4.85208,50,111.160097
-5.117084,50,111.291634
-3.72068,50,111.426288
-6.875825,50,111.556475
-3.844882,50,111.704634
-4.798702,50,111.953898
-5.753262,50,112.182961
-6.426212,50,112.334159
-4.691385,50,112.505781
-3.814029,50,112.692842
-4.931799,50,113.092616
-5.582032,50,113.322369
-5.390287,50,113.70361
-5.47032,50,114.577549
-4.584517,50,114.850111
-2.791541,50,115.012026
-4.452021,50,115.138176
-3.650858,50,115.269228
-2.845754,50,115.437821
-4.874264,50,115.578311
-5.638116,50,115.711235
-4.473414,50,115.869406
-4.623613,50,115.989072
-6.635505,50,116.119842
-4.422283,50,116.268095
-5.073509,50,116.726157
-5.140078,50,117.242001
-2.464531,50,117.653699
-6.515934,50,118.131882
-5.788979,50,118.693867
-4.961702,50,119.222548
-4.370192,50,119.626508
-5.391708,50,120.108297
-3.67711,50,121.539717
-3.358571,50,122.137465
-4.746989,50,122.616177
-5.602604,50,123.097867
-4.360857,50,123.647594
-4.459027,50,124.274967
-4.405409,50,124.826537
-4.001015,50,125.341222
-3.383455,50,125.792937
-4.181024,50,126.250199
-4.318963,50,126.655341
-4.869311,50,127.069921
-4.033221,50,127.504927
-3.200995,50,127.979056
-4.94312,50,128.371881
-6.056175,50,128.71814
-6.649532,50,128.951231
-4.036549,50,129.138773
-5.509118,50,129.478038
-2.836151,50,129.714611
-4.844255,50,129.972583
-5.369078,50,130.859405
-3.856242,50,131.100722
-4.265039,50,131.339911
-4.272233,50,131.5625
-4.132016,50,131.696815
-5.324504,50,131.85307
-4.3495,50,132.043522
-3.211269,50,132.261959
-4.120026,50,132.494874
-4.367721,50,132.691398
-4.138594,50,132.897029
-3.478095,50,133.073778
-5.156225,50,133.212912
-4.4408,50,133.364814
-3.2974,50,133.524261
-5.382402,50,133.669348
-4.204281,50,133.818228
-5.088845,50,133.979028
-4.922227,50,134.127873
-5.009665,50,134.260384
-2.533858,50,134.849135
-4.649525,50,135.104994
-4.022322,50,135.269283
-5.078831,50,135.462915
-3.2654,50,135.743499
-4.59862,50,135.922941
-4.48162,50,136.067305
-3.326174,50,136.216235
-4.797445,50,136.358351
-4.540241,50,136.498259
-3.89783,50,136.638141
-3.597118,50,136.815834
-4.514306,50,136.959138
-3.802054,50,137.098148
-4.284091,50,137.238578
-4.503674,50,137.398327
-4.419521,50,137.551731
-3.246209,50,137.676935
-5.56918,50,137.825434
-3.366643,50,137.960483
-4.071768,50,138.102951
-3.363278,50,138.598984
-2.367218,50,138.761468
-4.169562,50,138.928455
-4.233463,50,139.072533
-4.293606,50,139.259765
-2.969812,50,139.523982
-3.857812,50,139.774838
-3.218821,50,139.971797
-4.45711,50,140.098615
-3.871724,50,140.247251
-4.158896,50,140.382784
-3.861459,50,140.512609
-3.22815,50,140.649383
-3.416798,50,140.804449
-4.418223,50,140.948932
-3.162088,50,141.076125
-3.714946,50,141.212442
-3.492212,50,141.338035
-3.571487,50,141.467494
-3.489743,50,141.603828
-3.615683,50,142.118085
-4.792791,50,142.298817
-3.769184,50,142.438395
-3.657364,50,142.591059
-4.284723,50,142.733065
-3.295517,50,142.882285
-3.945309,50,143.011232
-2.388844,50,143.149463
-3.513899,50,143.270513
-4.048689,50,143.396433
-4.147438,50,143.518592
-3.071582,50,143.656551
-4.801207,50,143.804806
-3.902671,50,143.937783
-3.07908,50,144.083862
-4.296172,50,144.220166
-3.193594,50,144.366986
-2.910398,50,144.496483
-3.170411,50,144.629608
-3.663091,50,144.760422
-3.903917,50,144.962688
-5.006792,50,145.436557
-3.023538,50,145.596849
-4.234023,50,145.722275
-3.289677,50,145.870667
-4.456349,50,146.016227
-3.319093,50,146.18272
-4.2618,50,146.324445
-3.22575,50,146.484701
-2.96488,50,146.699471
-3.374269,50,146.846232
-3.670855,50,146.976887
-3.618402,50,147.11588
-2.966196,50,147.257949
-3.735992,50,147.38381
-6.28311,50,147.525613
-4.083555,50,147.649916
-3.934054,50,147.78474
-4.495633,50,147.928627
-4.023848,50,148.058419
-4.73634,50,148.180849
-4.501554,50,148.617883
-4.641115,50,148.800232
-3.342508,50,148.954239
-3.143972,50,149.07849
-3.343049,50,149.251499
-3.11983,50,149.399065
-4.185389,50,149.523519
-3.061721,50,149.666616
-3.946641,50,149.825835
-4.007353,50,149.995333
-3.059169,50,150.133465
-3.836212,50,150.275448
-3.424097,50,150.39992
-4.613958,50,150.519438
-2.884885,50,150.644681
-2.244821,50,150.771456
-4.179827,50,150.925796
-3.258084,50,151.071069
-4.099456,50,151.215061
-4.043777,50,151.326631
-3.035098,50,151.450278
-3.012569,50,151.933555
-3.031371,50,152.074895
-4.015186,50,152.201655
-3.79962,50,152.344922
-3.132013,50,152.469766
-4.10338,50,152.606168
